project_name,description,nr_packages,nr_methods,nr_test_classes,nr_test_run,nr_helpers,nr_missed_fail,nr_missed_skipped,nr_context_dependent,nr_context_dependent_fp,nr_fully_rotten,helper_distance,helper_calls,test_complexity_min,test_complexity_max,test_complexity_avg
joda-time,,11,,135,4211,423,3,17,3,2,1,0,1,,,
java-faker,,10,,85,445,10,0,0,0,0,1,,,,,
bt,,82,,67,338,173,0,1,0,33,4,0,1.6756756756756757,,,
flink-core,,55,,314,2656,864,2,9,21,7,4,0,2.1578947368421053,,,
jvm-profiler,,9,,23,62,0,0,0,0,1,0,,,,,
Mybatis-PageHelper,,31,,51,114,0,0,1,0,0,0,,,,,
maven-git-commit-id-plugin,,11,,22,28,6,0,0,4,0,0,0,1,,,
handlebars.java,,78,,248,797,425,0,0,0,0,30,0.8,3.68,,,
optaplanner,,619,,393,1234,429,0,0,14,89,7,0.014925373134328358,3.8317757009345796,,,
webdrivermanager,,7,,39,47,6,0,0,0,0,5,0,1,,,
jeromq,,38,,130,561,82,0,0,5,7,4,0,1.6666666666666667,,,
kuromoji,,29,,45,242,62,2,0,2,0,0,0,1,,,
red5-server,,53,,8,26,0,0,0,6,0,0,,,,,
Sentinel,,228,,111,277,14,1,0,1,2,5,0,1,,,
zemberek-nlp,,68,,65,339,69,0,0,6,0,0,0,2,,,
mahout,,27,,141,804,49,0,5,0,1,1,0,1,,,
servicecomb-pack,,77,,54,80,0,0,0,0,0,1,,,,,
XChange,,920,,530,1021,3,0,15,1,0,18,,,,,
javacpp,,7,,6,32,0,0,0,0,1,0,,,,,
spatial4j,,16,,27,125,16,0,0,3,2,0,0.6666666666666666,1.8,,,
wasabi,,99,,252,1032,11,0,0,0,0,15,,,,,
streamex,,5,,37,446,81,0,0,28,11,2,0,1.5897435897435896,,,
reflectasm,,5,,4,15,0,5,0,0,0,0,,,,,
pippo,,55,,31,197,0,0,0,2,0,4,,,,,
openmrs-core,,87,,302,713,12,0,0,2,0,1,,,,,
sqlite-jdbc,,9,,28,289,13,0,3,0,0,0,,,,,
