"Project","Description","Number of packages","Number of classes","Number of test classes","Minimum class depth","Median class depth","Maximum class depth","Number of tests","Number of helpers","Minimum max helper depth","Median max helper depth","Maximum max helper depth","Minimum primitive calls in test count","Median primitive calls in test count","Maximum primitive calls in test count","Minimum helper calls in test count","Median helper calls in test count","Maximum helper calls in test count","Minimum helper call/definition delta","Median helper call/definition delta","Maximum helper call/definition delta","Insidious cat. 1","Insidious cat. 2","Insidious cat. 3","Insidious cat. 4"
"Artefact","","3","122","11","1","1","1","45","1","0","0","1","0","1","8","0","0","1","0","0","0","0","0","0","0"
"Bloc","","17","449","4","1","1","1","4","0","0","0","0","1","1","2","0","0","0","","","","0","0","0","0"
"Boardwalk","","1","14","0","-1","-1","-1","0","0","-1","-1","-1","-1","-1","-1","-1","-1","-1","","","","0","0","0","0"
"Brick","","7","487","0","-1","-1","-1","0","0","-1","-1","-1","-1","-1","-1","-1","-1","-1","","","","0","0","0","0"
"Buoy","","15","52","20","1","1","1","199","0","0","0","0","0","3","9","0","0","0","","","","0","0","0","0"
"Calypso","","62","732","160","1","4","6","2789","7","0","0","2","0","2","8","0","0","2","0","1","2","92","0","0","0"
"ChartJs","","4","36","3","2","2","2","2","0","0","0","0","2","2","2","0","0","0","","","","0","0","0","0"
"Chrysal","","3","21","3","1","1","1","34","0","0","0","0","1","2","7","0","0","0","","","","0","0","0","0"
"Citezen","","9","126","28","1","1","2","159","0","0","0","0","0","2","11","0","0","0","","","","0","0","0","0"
"CollectionExtensions","","2","3","3","1","1","1","23","0","0","0","0","0","2","6","0","0","0","","","","0","0","0","0"
"ColorsExtensions","","1","1","0","-1","-1","-1","0","0","-1","-1","-1","-1","-1","-1","-1","-1","-1","","","","0","0","0","0"
"CommonUtils","","1","1","0","-1","-1","-1","0","0","-1","-1","-1","-1","-1","-1","-1","-1","-1","","","","0","0","0","0"
"Configurator","","1","5","1","1","1","1","6","0","0","0","0","1","1","2","0","0","0","","","","0","0","0","0"
"Containers-Array2D","","2","4","2","1","1","1","51","0","0","0","0","1","1","7","0","0","0","","","","0","0","0","0"
"Containers-Grid","","2","2","1","1","1","1","69","0","0","0","0","0","2","13","0","0","0","","","","0","2","0","0"
"Containers-KeyedTree","","2","2","1","1","1","1","11","0","0","0","0","2","6","10","0","0","0","","","","0","0","0","0"
"Containers-LazyList","","1","6","2","1","1","1","15","0","0","0","0","1","5","12","0","0","0","","","","0","0","0","0"
"Containers-OrderedMultiMap","","1","4","2","1","1","2","46","1","0","0","1","0","2","7","0","0","1","0","0","1","2","0","1","0"
